biz,ratingValue,datePublished,description
b'da-jia-le-berlin-3',5,b'2017-10-10',"b'Authentic Northern Chinese cuisine ... even the atmosphere is authentic (ie more Neon than nostalgic ;) ) Chinese. Great food with pork as mainstay. Oh, and craft beers. Best to come with at least 3 diners to samples some variety (Chinese, not European dishes served here).'"
b'da-jia-le-berlin-3',2,b'2017-06-11',"b""If this is the best Chinese food that Berlin had to offer... wow... maybe someone should take a trip to China. \n\nAlthough the service was friendly and the menu seeming authentic with the inclusion of a few north eastern Chinese dishes, this is meals are aimed at the German palate, if your palate favors the toning down of flavors this place is for you. \n\nWhen it comes to looking for authentic tasting food, I'll steer clear of local reviewers thanks. Although I did have pretty tasty Chinese food in Frankfurt, so maybe it's just a Berliner thing."""
b'da-jia-le-berlin-3',4,b'2017-09-22',"b'Authentic cuisine, pretty good! We enjoyed the cucumber salad/ dumplings/ salt and pepper prawns/ bok choy w shiitake/ sour soup fish.'"
b'da-jia-le-berlin-3',4,b'2016-02-09',"b'Relatively cheap and pretty authentic chinese restaurant. The servers are super nice and friendly so I want to give 5 stars for that.\n\nFood was also pretty authentic although the choice was a bit limited. The duck was pretty good and crispy but yuxiangrousi \xe9\xb1\xbc\xe9\xa6\x99\xe8\x82\x89\xe4\xb8\x9d was a bit too sweet. The fried rice was ok. And the bokchoy and mushroom was good \xe9\xa6\x99\xe8\x8f\x87\xe6\xb2\xb9\xe8\x8f\x9c. Guobai \xe9\x94\x85\xe5\x8c\x85 was great (i believe the place is \xe4\xb8\x9c\xe5\x8c\x97 dongbei food. They also gave us free white rice! \n\nThe food took a while to come out and the choice was somehow more limited than in the Bay area/california (i know this sounds weird since they have pages of food but they lack some super common authentic chinese dishes--- which to be fair not many people might order those here?) \n\nOtherwise, super good service, tasty food at decent price! Cannot ask for more for a chinese restaurant in Berlin!'"
b'da-jia-le-berlin-3',5,b'2017-04-04',"b'Very good place for dinner, friendly servers, some dishes can serve up to two people. I recommend asking for the spring roll of entry - 2.80 euros. Recommend the dish with chicken fingers and vegetables - 9.90 euros.'"
b'da-jia-le-berlin-3',4,b'2016-11-20',"b'Very authentic Chinese restaurant. Everything is well prepared and tasty, even the ""Westernized"" dishes.\nService is a bit quirky but friendly. Totally recommended'"
b'da-jia-le-berlin-3',5,b'2015-02-13',"b""Well tickle me pink!  I had gone past this restaurant so many times and thought ummm meh because I have to admit it's not so welcoming looking from the outside. I also peered through the windows at night whilst passing in the car a couple of times and thought nah! Then I saw the reviews on yelp and thought seriously?\n\nHaving joined the yelp community and met some of the reviewers I thought...Yes seriously this must be good. So I took my little cold to try out something spicy.\n\nWell we only ordered three dishes, I would have liked to have gone all Asian but I would have needed the stomach of a cow with it's four chambers to get through it all... on that subject you can indeed order stomach, trotters, tripe and the like should you so wish. We ordered Sichuan Style Tofu, Peking styled fried pork with pancakes and the Pork, shrimp, egg and vegetable dumplings. \n\nThe dumplings were a good size and tasty. The tofu was firm and had a lovely spice to it, just right to unblock my nose! The pork wrapped in pancakes was delicious too. Portions are generous and we were really quite stuffed. Thankfully my friend knows me quite well and stopped me ordering by the third dish otherwise I would still be there eating now! I liked this place very much and will return to try other dishes. But my main mission will be to find people who have a stomach for the more adventurous side of the menu. Really want to try their intestines, hope it's like how my father used to make them. So many dishes to try! Just happy this place is so nearby and to think I have been searching for so long! \n\nPrices are a little on the steep side but I have to come to terms with that when it comes to Chinese food unless you get a greasy noodle box from some public transport station, but that is a whole different ball game!\n\nOh I should also mention they have an impressive selection of craft beers too!"""
b'da-jia-le-berlin-3',5,b'2016-06-27',"b""This restaurant is a little out of the way but totally worth the trek. The food is very good and the service is wonderful. If you're unsure, the front part of the menu has photos of each item to help with your decision. If you want good Chinese food while in Berlin, Da Jia Le is worth a stop."""
b'da-jia-le-berlin-3',5,b'2015-06-12',"b'I\'ve bookmarked this for the longest time, and finally, I got the chance to get here. Oh, how wonderful!\n\nIt\'s always a joy to find a Chinese restaurant that doesn\'t tailor its cuisine to the ""needs"" of the local population. Hence, when I was living in the US, I always sought these little hole in the wall Chinese restaurants because I didn\'t really dig General Tso\'s Chicken. And so here in Berlin, I am glad to have found this.\n\nOne tip: if you ever try and eat here, don\'t order from the menu that has no pictures. Order from the menu that has pictures. The picture-less menu is your standard Chinese fare that you would expect every Chinese restaurant would carry. But the menu with the pictures, those are the bomb!\n\nWe ordered three dishes which we shared between the two of us. We ordered the beef tripe (D03), the seaweed salad (D12), and the pork belly stewed in tomatoes with glass noodles (D33). All the dishes were amazing!\n\nAnd surprisingly, they also have quite a good selection of German craft beers, which definitely work well with the hot dishes that they have!\n\nI would definitely try to be back here when I can. But first I\'ll try to exercise and burn away this meal I ate.'"
b'da-jia-le-berlin-3',5,b'2016-04-29',"b'Wow, this is a great chinese restaurant. Already when you enter the restaurant you somehow feel you are in China. The decor is a bit tacky and the place itself has a very large dining room with a lot of tables. The food is really great, I would rate it as the best Chinese food I had in Berlin. We went for the cold potato salad and the squid for starters, both excellent. For mains we had some steamed fish and fried sweet and sour pork. The dishes were just excellent and on top of all this great food this place also has a craft beer list that matches some fancy bars in Berlin. A full thumbs up in every aspect.'"
b'da-jia-le-berlin-3',5,b'2014-04-06',b'I like the food here. You can choose between the western Chinese style or the transitional style. Both of them taste good for me. \n\nDas Essen schmeckt mir gut. Mann kann zwischen der westlichen chinesischen Art und der traditionellen chinesischen Art ausw\xc3\xa4hlen. Beide gefallen mir. Lecker. :)'
