biz,ratingValue,datePublished,description
jing-yang-berlin,5,2017-10-22,"Hard to find good authentic Chinese food in the area that are willing to make the food as spicy as we would like it to be. 

The owner was quick to help us order the correct amount of spice and the woman cooking in the back was responsive to the spice level. Normally, Germans do not like much spice in their food. Rest assured if you ask for spicy food, you will get it. 

Really enjoyed the variety of food available. 4 different items, 3 drinks for 50€ is a good meal. We will be back!"
jing-yang-berlin,5,2017-10-11,"Best Chinese food I've ever had! No English menus but the waitress was beyond helpful. I actually ate here on my one night alone while my husband was at a work conference, and enjoyed every bite of my solo dining experience!"
jing-yang-berlin,5,2017-07-01,"This is my favorite Chinese restaurant by far. Their food is excellent - I have never had a dish I didn't like - and the staff is friendly and helpful. If you happen to be in the area around lunch time, try one of their soups (with fresh, homemade noodles!). The dishes can get quite spicy, but you can always ask beforehand if you're not sure."
jing-yang-berlin,5,2016-09-17,"I haven't been to China, but this is what I picture as more of (from what I've seen on TV and from how friends describe it) as more authentic Chinese cuisine. Small place, very quaint but nice. My wife and brother in law had a chicken dish with green veggies (mostly onions and Lima beans, IIRC). It was very light in flavor, but in a good way. They both really liked it. I had a hot broth dish with some really great chili spices, beef, potatoes, and veggies. It had some real kick to it, but was pretty great. They served a family pot of white rice to eat everything with. Ended up being a little over €10 per person I think. We will definitely be back here to try more dishes, strongly recommend."
jing-yang-berlin,5,2016-04-18,"This place is perfectly authentic! It's a small tidy restaurant, the dishes are so delicious and the price is reasonable. You can ask for recommendations and you won't be disappointed!"
chi-chi-kan-berlin,5,2016-03-21,The food is exceptional and the service quick/friendly.   We ordered vegetarian food and left quite satisfied.  The prices are quite reasonable.  Be sure to get a reservation on peak nights as the restaurant is usually very busy.
chi-chi-kan-berlin,5,2016-01-16,"A place I could easily visit daily! The food is exceptional , the staff are more than friendly and talkative too! Happy to speak in English as well as German .  I feel extremely welcomed and more than satisfied when I leave . A massive thank you"
feedback-berlin-5,5,2017-09-30,"very delicious! especially all kinds of local Cantonese style DIM-SUM, which stands out among other chinese restaurant~"
feedback-berlin-5,5,2016-02-25,"Like just : AMAZING ! 
once you go there ...you'll just wish /want to move to Berlin just to be able to try all dishes EVERY DAY !
on top of being delicious they are decorated in such an exquisite and elegant way that can only assure you ""you won't be disappointed""
hope you will all enjoy as much as i did. definitely recommendable! 
service is super sweet, the place has a great decoration, all is very clean
my best advise is : GO ! GO ! GO!  TRY! TRY!"
feedback-berlin-5,5,2017-07-06,"Visiting from New York City  for only five days and was lucky enough to be brought to this exquisite restaurant by my friend Jake. Better than any of the restaurants back home - freshest flavors and most delicious combinations I've encountered. Tofu has never tasted so good - whether quickly deep fried or sautéed or smoked. Shumai and wontons were perfect and light and wasabi shrimp out of this world.  And how can a humble cucumber salad be that amazing?
Gracious service; beautiful outdoor setting, lovely bottle of Albariño and above all scrumptious food. A must."
feedback-berlin-5,3,2016-12-09,"Nothing special. It's pretty much your average Chinese place, but a bit more expensive. The dim sum is better than the Hauptgerichte."
feedback-berlin-5,1,2016-04-02,"Really confused by the reviews and I am not even a foodie.  I had their version of Kung Po chicken and it was almost inedible and the dish was about 50% oyster sauce with very little meat.  They do have a nice outdoor eating area if you just want to have a beer, but I would stay away from the food if you are remotely used to real Chinese food."
lon-mens-noodle-house-berlin,5,2015-10-24,"After living in Taiwan for a while a few years ago, I always missed it's food and especially beef noodle soups. This is as close as it gets, in a very authentic small restaurant with great prices. 

If you want Taiwanese food, this is the place for you."
lon-mens-noodle-house-berlin,4,2017-11-05,"Listen up people. Shits about to get real. This place, Lon Mens, is a temple. A temple of flavour. 

Chilli wan tans, is what you need to order. 

Trust me. Now did you really think that with all this flavour, you wouldnt get some sort of attitude? Come on man, dont ever play yourself! The man of the house (lil older dude) had gotten a lil crankey over the years, so if you get treated like shit, dont trip - its part of the experience. Apart from that, and that this place is always packed, this is one of the greatest places everyone and no one knows about. If you reading this, then congratulations. You just got the bestest berlin tip ever my fren. They dont come often, and they usually aren't free. But ey, its ya lucky day. Now go pack your shit, go grab your wife and kids, leave the dog at home and get the fuck over there. Do something for your health, dont be a lonely man and come on down to Lon-Mens. Peace n love,
Ya neighbour hood man
Peng. C"
